,genre,gross,imdb_score
2,Comedy,1.89,7.8
3,Family,1.89,7.8
4,Sci-Fi,1.89,7.8
0,Adventure,0.01,6.6
1,Animation,0.01,6.6
2,Family,0.01,6.6
3,Fantasy,0.01,6.6
0,Action,1.02,5.5
1,Adventure,1.02,5.5
2,Sci-Fi,1.02,5.5
0,Adventure,2.17,8.2
1,Animation,2.17,8.2
2,Family,2.17,8.2
3,Fantasy,2.17,8.2
0,Action,1.5,6.4
1,Sci-Fi,1.5,6.4
0,Action,3.33,8.1
1,Adventure,3.33,8.1
2,Sci-Fi,3.33,8.1
0,Adventure,1.88,8.6
1,Drama,1.88,8.6
2,Sci-Fi,1.88,8.6
0,Action,2.93,8.8
1,Adventure,2.93,8.8
2,Sci-Fi,2.93,8.8
3,Thriller,2.93,8.8
0,Adventure,3.03,7.9
1,Fantasy,3.03,7.9
0,Action,1.45,6.7
1,Crime,1.45,6.7
2,Thriller,1.45,6.7
0,Drama,1.27,7.8
1,Fantasy,1.27,7.8
2,Romance,1.27,7.8
0,Action,1.46,7.8
1,Adventure,1.46,7.8
2,Sci-Fi,1.46,7.8
0,Adventure,2.82,6.6
1,Sci-Fi,2.82,6.6
0,Action,0.63,6.1
1,Adventure,0.63,6.1
2,Family,0.63,6.1
3,Fantasy,0.63,6.1
0,Action,0.61,5.6
1,Adventure,0.61,5.6
2,Drama,0.61,5.6
3,Thriller,0.61,5.6
0,Adventure,0.77,6.4
1,Family,0.77,6.4
2,Fantasy,0.77,6.4
0,Adventure,3.21,6.1
1,Animation,3.21,6.1
2,Comedy,3.21,6.1
3,Family,3.21,6.1
4,Fantasy,3.21,6.1
0,Action,0.47,7.3
1,Adventure,0.47,7.3
2,Fantasy,0.47,7.3
0,Action,0.9,6.6
1,Adventure,0.9,6.6
2,Sci-Fi,0.9,6.6
0,Adventure,1.04,6.3
1,Family,1.04,6.3
2,Fantasy,1.04,6.3
0,Action,1.99,6.1
1,Drama,1.99,6.1
2,History,1.99,6.1
3,Romance,1.99,6.1
4,War,1.99,6.1
0,Action,3.19,7.1
1,Adventure,3.19,7.1
2,Sci-Fi,3.19,7.1
0,Action,0.34,5.5
1,Adventure,0.34,5.5
2,Biography,0.34,5.5
3,Drama,0.34,5.5
4,History,0.34,5.5
5,Romance,0.34,5.5
6,War,0.34,5.5
0,Adventure,2.92,7.5
1,Family,2.92,7.5
2,Fantasy,2.92,7.5
3,Mystery,2.92,7.5
0,Adventure,2.9,7.6
1,Family,2.9,7.6
2,Fantasy,2.9,7.6
3,Mystery,2.9,7.6
0,Action,2.28,6.4
1,Drama,2.28,6.4
0,Drama,2.56,7.2
1,Horror,2.56,7.2
2,Sci-Fi,2.56,7.2
0,Adventure,2.06,6.7
1,Comedy,2.06,6.7
2,Family,2.06,6.7
3,Fantasy,2.06,6.7
0,Animation,2.06,8.0
1,Comedy,2.06,8.0
2,Family,2.06,8.0
3,Fantasy,2.06,8.0
0,Action,2.05,8.3
1,Adventure,2.05,8.3
0,Action,1.8,6.7
1,Adventure,1.8,6.7
2,Animation,1.8,6.7
3,Comedy,1.8,6.7
4,Family,1.8,6.7
0,Adventure,1.77,5.9
1,Comedy,1.77,5.9
2,Family,1.77,5.9
3,Fantasy,1.77,5.9
0,Action,1.8,6.7
1,Adventure,1.8,6.7
2,Fantasy,1.8,6.7
3,Sci-Fi,1.8,6.7
4,Thriller,1.8,6.7
0,Action,1.39,6.7
1,Sci-Fi,1.39,6.7
0,Adventure,4.01,7.6
1,Animation,4.01,7.6
2,Comedy,4.01,7.6
3,Family,4.01,7.6
4,Fantasy,4.01,7.6
5,Musical,4.01,7.6
0,Action,2.81,7.2
1,Sci-Fi,2.81,7.2
0,Action,2.06,7.1
1,Adventure,2.06,7.1
2,Fantasy,2.06,7.1
0,Action,1.54,8.1
1,Adventure,1.54,8.1
2,Sci-Fi,1.54,8.1
3,Thriller,1.54,8.1
0,Mystery,1.33,6.7
1,Thriller,1.33,6.7
0,Action,1.81,7.0
1,Adventure,1.81,7.0
2,Fantasy,1.81,7.0
0,Adventure,1.14,6.9
1,Animation,1.14,6.9
2,Comedy,1.14,6.9
3,Drama,1.14,6.9
4,Family,1.14,6.9
0,Action,1.19,5.1
1,Adventure,1.19,5.1
2,Animation,1.19,5.1
3,Comedy,1.19,5.1
4,Family,1.19,5.1
5,Fantasy,1.19,5.1
6,Sci-Fi,1.19,5.1
0,Action,0.84,5.8
1,Adventure,0.84,5.8
2,Fantasy,0.84,5.8
0,Comedy,0.8,6.2
1,Fantasy,0.8,6.2
2,Horror,0.8,6.2
0,Action,1.95,7.4
1,Adventure,1.95,7.4
2,Thriller,1.95,7.4
0,Drama,0.62,5.8
1,Fantasy,0.62,5.8
2,Horror,0.62,5.8
3,Thriller,0.62,5.8
0,Action,1.24,6.6
1,Adventure,1.24,6.6
2,Drama,1.24,6.6
3,Romance,1.24,6.6
0,Adventure,1.27,6.2
1,Animation,1.27,6.2
2,Comedy,1.27,6.2
3,Family,1.27,6.2
0,Action,1.65,7.3
1,Adventure,1.65,7.3
2,Animation,1.65,7.3
3,Comedy,1.65,7.3
4,Family,1.65,7.3
0,Action,1.32,4.2
1,Adventure,1.32,4.2
2,Family,1.32,4.2
3,Fantasy,1.32,4.2
0,Action,1.33,6.9
1,Adventure,1.33,6.9
2,Thriller,1.33,6.9
